"Field Name","Field Label","Model","Field Type","Type","Indexed","Stored","Readonly","Related Model"
"citizenship","Citizenship","Employee","selection","Base Field","","True","",""
"civil_status","Civil Status","Employee","selection","Base Field","","True","",""
"company_id","Company","Employee","many2one","Base Field","True","True","","res.company"
"date_of_birth","Date of Birth","Employee","date","Base Field","","True","",""
"father_first_name","Father's First Name","Employee","char","Base Field","","True","",""
"father_surname","Father's Surname","Employee","char","Base Field","","True","",""
"first_name","First Name","Employee","char","Base Field","","True","",""
"gender","Sex at Birth","Employee","selection","Base Field","","True","",""
"height","Height","Employee","float","Base Field","","True","",""
"mother_first_name","Mother's First Name","Employee","char","Base Field","","True","",""
"mother_surname","Mother's Surname","Employee","char","Base Field","","True","",""
"p_address_barangay_id","Permanent Barangay","Employee","many2one","Base Field","","True","","psa.psgc"
"p_address_city_id","Permanent City/Municipality","Employee","many2one","Base Field","","True","","psa.psgc"
"p_address_house_no","Permanent House/Block/Lot No.","Employee","char","Base Field","","True","",""
"p_address_province_id","Permanent Province","Employee","many2one","Base Field","","True","","psa.psgc"
"p_address_street","Permanent Street","Employee","char","Base Field","","True","",""
"p_address_zip","Permanent ZIP Code","Employee","char","Base Field","","True","",""
"r_address_barangay_id","Residential Barangay","Employee","many2one","Base Field","","True","","psa.psgc"
"r_address_city_id","Residential City/Municipality","Employee","many2one","Base Field","","True","","psa.psgc"
"r_address_house_no","Residential House/Block/Lot No.","Employee","char","Base Field","","True","",""
"r_address_province_id","Residential Province","Employee","many2one","Base Field","","True","","psa.psgc"
"r_address_street","Residential Street","Employee","char","Base Field","","True","",""
"r_address_zip","Residential ZIP Code","Employee","char","Base Field","","True","",""
"resource_id","Resource","Employee","many2one","Base Field","True","True","","resource.resource"
"surname","Surname","Employee","char","Base Field","","True","",""
"version_ids","Employee Versions","Employee","one2many","Base Field","","True","","hr.version"
"weight","Weight","Employee","float","Base Field","","True","",""
